Campaign ID,Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Ad Group,Max CPC,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Decks & Outdoor,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Basement Finishing,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,kitchen renovation contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,custom kitchen remodel,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,kitchen remodel contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,large kitchen renovation,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,full kitchen renovation contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,custom kitchen remodel contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,kitchen gut renovation,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,high end kitchen remodel,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,kitchen renovation company near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Kitchens,7.00,kitchen remodeling near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Decks & Outdoor,5.00,deck builder near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Decks & Outdoor,5.00,deck contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Decks & Outdoor,5.00,deck builder,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Decks & Outdoor,5.00,composite deck builder,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Decks & Outdoor,5.00,deck and porch contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Decks & Outdoor,5.00,screened porch contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Decks & Outdoor,5.00,covered porch builder,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Decks & Outdoor,5.00,deck construction company,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Basement Finishing,5.00,basement finishing contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Basement Finishing,5.00,finish basement contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Basement Finishing,5.00,basement finishing near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Basement Finishing,5.00,basement remodeling contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Basement Finishing,5.00,basement build out contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Basement Finishing,5.00,finished basement builder,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24256929817,PSI - Entry Jobs,,,,Basement Finishing,5.00,basement renovation contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
24239870851,PSI - Large Residential,,,,Additions,,,,Responsive search ad,https://psiconstructionpa.com/,Additions,NEPA,Most Projects $75K-$1M,Home Addition Contractor,Second Story & Dormer Adds,In-Law Suite Additions,Additions Built to Last,"Design, Permits, Build",PA HIC #213035,Licensed & Fully Insured,"In-House Crews, Not Subs","Kingston, PA Based",Serving the Back Mountain,Written Schedules,Talk to the Owner Directly,"One Crew, Start to Finish",Workers' Comp Covered,"Room additions, dormers and second stories across the Wyoming Valley. PA HIC #213035.","Most of our additions run $75K to $1M. If that is your range, let us talk scope.","In-house crews, written schedules, workers comp covered. Licensed and insured in PA.","Kingston-based contractor serving Luzerne, Lackawanna and Wyoming counties.",Enabled
24239870851,PSI - Large Residential,,,,Additions,,,,Responsive search ad,https://psiconstructionpa.com/,Additions,Dormers,Additions Others Decline,Second Story Specialists,Home Addition Contractor,PA HIC #213035,Most Projects $75K-$1M,Dormers & In-Law Suites,Licensed & Fully Insured,Structural Work Included,Design Through Punch List,Wyoming Valley Contractor,"In-House Crews, Not Subs",Workers' Comp Covered,Written Schedules,Luzerne & Lackawanna Co.,"One Crew, Start to Finish","Second stories, dormers and in-law suites. Structural work handled in house.",We take on additions many contractors turn down. Typical range $75K to $1M.,"Registered PA home improvement contractor #213035. Licensed, insured, comp covered.","Serving Kingston, Dallas, Shavertown, Mountain Top and the wider Back Mountain.",Enabled
24239870851,PSI - Large Residential,,,,Whole Home,,,,Responsive search ad,https://psiconstructionpa.com/,Whole-Home,Renovation,Most Projects $75K-$1M,Whole-Home Renovation,Gut Renovation Contractor,Full House Remodel,Down to the Studs,"One Crew, Start to Finish",PA HIC #213035,Licensed & Fully Insured,"In-House Crews, Not Subs","Kingston, PA Based",Serving the Back Mountain,Written Schedules,"Design, Permits, Build",Talk to the Owner Directly,Workers' Comp Covered,Whole-house renovations taken down to the studs and rebuilt. PA HIC #213035.,Most whole-home projects run $75K to $1M. Tell us the house and we will scope it.,One general contractor from demolition through punch list. Licensed and insured.,"Kingston-based, serving Luzerne, Lackawanna and Wyoming counties.",Enabled
24239870851,PSI - Large Residential,,,,Design Build,,,,Responsive search ad,https://psiconstructionpa.com/,Design-Build,NEPA,Most Projects $75K-$1M,Design-Build Contractor,"General Contractor, NEPA","Design, Permits, Build","One Crew, Start to Finish",Projects Others Decline,PA HIC #213035,Licensed & Fully Insured,"In-House Crews, Not Subs","Kingston, PA Based",Serving the Back Mountain,Written Schedules,Talk to the Owner Directly,Luzerne & Lackawanna Co.,Workers' Comp Covered,"Design, permitting and construction under one contract. PA HIC #213035.","Most projects run $75K to $1M. Additions, whole-home renovations, multifamily.","In-house crews, written schedules, workers comp covered. Licensed and insured.",Kingston-based general contractor serving the Wyoming Valley and Back Mountain.,Enabled
24239870851,PSI - Large Residential,,,,New Construction,,,,Responsive search ad,https://psiconstructionpa.com/,New-Build,NEPA,Most Projects $75K-$1M,New Home Construction,"Custom Home Builder, PA","Design, Permits, Build","One Crew, Start to Finish",Ground-Up Construction,PA HIC #213035,Licensed & Fully Insured,"In-House Crews, Not Subs","Kingston, PA Based",Serving the Back Mountain,Written Schedules,Talk to the Owner Directly,Luzerne & Lackawanna Co.,Workers' Comp Covered,"Ground-up new construction across Luzerne, Lackawanna and Wyoming counties.","Most builds run $75K to $1M. Site work, permitting and construction handled.","In-house crews, written schedules, workers comp covered. PA HIC #213035.",Kingston-based builder serving the Wyoming Valley and Back Mountain.,Enabled
24239870851,PSI - Large Residential,,,,Poconos Second Home,,,,Responsive search ad,https://psiconstructionpa.com/,Second-Home,Poconos,Most Projects $75K-$1M,Lake House Renovation,Second Home Renovation,Poconos Renovation Crew,Photo Updates Every Week,"Design, Permits, Build",PA HIC #213035,Licensed & Fully Insured,"In-House Crews, Not Subs",Written Schedules,"One Crew, Start to Finish",Talk to the Owner Directly,Workers' Comp Covered,Wyoming Valley Contractor,Serving the Poconos,"Lake house and second-home renovations, managed for owners who live elsewhere.",Weekly photo and video updates so you can follow the job without driving up.,"Registered PA contractor #213035. Licensed, insured, workers comp covered.","Most projects run $75K to $1M. Additions, whole-home and exterior work.",Enabled
